name,short_description,detailed_description,business_function,capabilities,owner,technology,status
MSVGo Automation,"Manually extracting English audio from videos and converting it into multiple languages is a time-intensive and complex task, often involving multiple tools and risking inconsistency in quality. To streamline this...","Manually extracting English audio from videos and converting it into multiple languages is a time-intensive and complex task, often involving multiple tools and risking inconsistency in quality. To streamline this workflow, an automated solution is required to extract English audio from video files, convert it to text, translate the content into target languages, and regenerate audio in those languages—ensuring accuracy, efficiency, and scalability in multilingual content production.

Extraction of english audio from Video and conversion to other languages",MSVGo,Extraction of english audio from Video and conversion to other languages,hari.bobhate@hurix.com,UiPath; GCP,ACTIVE
Noise Removal,MP4 video files often contain background noise that affects audio clarity and user experience. Manually cleaning each file is time-consuming and not scalable for large volumes. An automated solution is needed to process...,"MP4 video files often contain background noise that affects audio clarity and user experience. Manually cleaning each file is time-consuming and not scalable for large volumes. An automated solution is needed to process MP4 files from an input folder, remove background noise using audio enhancement techniques, and save the cleaned videos to an output folder—ensuring consistent quality and efficient media processing.

Open each MP4 file from the input folder, remove the background noise, and save the updated video files in the output folder.

Bot Handover to Team",HPT,Bot Handover to Team,ramganesh.bhaskaran@hurix.com,UiPath,ACTIVE
Bajaj,"Manually searching, extracting, and aligning content based on keywords and titles is time-consuming and inconsistent, especially when large volumes of information are involved. To improve efficiency and content quality...","Manually searching, extracting, and aligning content based on keywords and titles is time-consuming and inconsistent, especially when large volumes of information are involved. To improve efficiency and content quality, an automated solution is needed that leverages Python and ChatGPT to extract relevant information based on specified keywords and titles, then align and paraphrase the content to ensure coherence, originality, and contextual relevance.

Content extraction based on Keywords and Title using Python and ChatGPT
Alignment and paraphrase of extracted content

Workid at Client End",,Workid at Client End,Direct Client,Microsoft Power Automate; Python + ChatGPT,ACTIVE
EZTest_XML,"Manually extracting Viddler video codes from XML files and checking for closed caption (CC) availability is time-consuming and prone to oversight. An automated solution is needed to read XML input files, extract Viddler...","Manually extracting Viddler video codes from XML files and checking for closed caption (CC) availability is time-consuming and prone to oversight. An automated solution is needed to read XML input files, extract Viddler codes, access the corresponding video URLs, verify the presence of closed captions, and update the status in an Excel sheet—ensuring accurate tracking, improved efficiency, and streamlined video accessibility validation.

1. Read the XML file from the input and extract the Viddler code.
2. Use the video URL to open the video files and monitor if closed captions (CC) are available and status updated in excel sheet.

Bot Handover to Team",HPT,Bot Handover to Team,venkatasubramanian.narasimhan@hurix.com,UiPath,ACTIVE
Engrade & MHE Automation,"Manually removing or modifying State Standards from online forms on the Engrade website is repetitive, time-consuming, and prone to human error. To ensure consistency and efficiency, an automated solution is needed to...","Manually removing or modifying State Standards from online forms on the Engrade website is repetitive, time-consuming, and prone to human error. To ensure consistency and efficiency, an automated solution is needed to access the Engrade platform, locate the relevant forms, and accurately remove or update State Standard entries—streamlining the process and reducing manual intervention.

Removal and modification of State Standard from Engrade website online form

Bot Handover to Team",HPT,Bot Handover to Team,chandra.pk@hurix.com,UiPath,ACTIVE
Inifinity Learn Automation,"Manually adding watermarks to videos and extracting images from websites are repetitive and time-intensive tasks, especially when dealing with multiple assets. To streamline these workflows, an automated solution is...","Manually adding watermarks to videos and extracting images from websites are repetitive and time-intensive tasks, especially when dealing with multiple assets. To streamline these workflows, an automated solution is required to use FFmpeg for reading MP4 video files and applying logo-based watermarks, as well as to extract images from specified websites—ensuring efficiency, consistency, and reduced manual effort in media processing and content collection.

Read the input MP4 file and logo PNG. Using FFmpeg, we add a watermark to the video.
Extraction of Images from website

Bot Handover to Team",HPT,Bot Handover to Team,ramganesh.bhaskaran@hurix.com,UiPath,ACTIVE
Kaplan_CampusView,"Manually adding watermarks to videos and extracting images from websites are repetitive and time-intensive tasks, especially when dealing with multiple assets. To streamline these workflows, an automated solution is...","Manually adding watermarks to videos and extracting images from websites are repetitive and time-intensive tasks, especially when dealing with multiple assets. To streamline these workflows, an automated solution is required to use FFmpeg for reading MP4 video files and applying logo-based watermarks, as well as to extract images from specified websites—ensuring efficiency, consistency, and reduced manual effort in media processing and content collection.",,,Direct client,UiPath,ACTIVE
ffmpeg conversion,"Legacy media formats like FLV and SWF are no longer widely supported, making content access and compatibility challenging. Manually converting these files to modern formats is inefficient and error-prone. An automated...","Legacy media formats like FLV and SWF are no longer widely supported, making content access and compatibility challenging. Manually converting these files to modern formats is inefficient and error-prone. An automated solution is needed to transform FLV files to MP4 and SWF files to MP3 using FFmpeg, ensuring broader compatibility, improved playback support, and streamlined media migration.

Transform FLV files to MP4 and SWF files to MP3 using FFmpeg conversion.",,Transform FLV files to MP4 and SWF files to MP3 using FFmpeg conversion.,deepti.inamdar@hurix.com,UiPath,ACTIVE
Mp4_To_Transcript_Thumbnail,"Manually capturing thumbnail images from the final moments of videos is time-consuming and inconsistent, especially across large video libraries. To ensure uniformity and efficiency, an automated solution is required to...","Manually capturing thumbnail images from the final moments of videos is time-consuming and inconsistent, especially across large video libraries. To ensure uniformity and efficiency, an automated solution is required to extract thumbnail images from the last two seconds of each video—providing a standardized visual preview for use in catalogs, platforms, or video players.

Creating thumbnail image from the video for last two seconds

Bot Handover to Team",HPT,Bot Handover to Team,ramganesh.bhaskaran@hurix.com,UiPath,ACTIVE
Word to Latex Questions,"Extracting questions from Word documents and transferring them into Excel, especially when involving LaTeX-formatted mathematical content, is a manual and error-prone process. To ensure accuracy and efficiency, an...","Extracting questions from Word documents and transferring them into Excel, especially when involving LaTeX-formatted mathematical content, is a manual and error-prone process. To ensure accuracy and efficiency, an automated solution is required to extract questions from Word files, preserve or convert embedded LaTeX code, and populate the structured content into Excel—streamlining question processing for assessment development and reducing manual workload.

Extraction of question from word to Excel with Latex code

No Data Available",MSVGo,No Data Available,,UiPath,ACTIVE
SF/Word to Captivate,"Manually transforming content from SuccessFactors or Word documents into Captivate-compatible XML format is complex, time-consuming, and prone to structural errors. To streamline eLearning content migration and ensure...","Manually transforming content from SuccessFactors or Word documents into Captivate-compatible XML format is complex, time-consuming, and prone to structural errors. To streamline eLearning content migration and ensure accuracy, an automated solution is needed to convert structured content from SuccessFactors exports or Word-based storyboards into Captivate XML—facilitating faster content integration, reducing manual effort, and ensuring compatibility with Adobe Captivate workflows.

Transformation of SF or Word to Captivate XML

No Data Available",,No Data Available,,"VBSCript, PERL",ACTIVE
Excel2ePub_Creation,"HTML content embedded within Excel documents is not readily usable for digital publishing, and manually converting this content into EPUB format is inefficient and error-prone. To streamline the workflow, an automated...","HTML content embedded within Excel documents is not readily usable for digital publishing, and manually converting this content into EPUB format is inefficient and error-prone. To streamline the workflow, an automated solution is needed to extract HTML content from Excel cells, structure it appropriately, and transform it into a valid EPUB package—ensuring consistent formatting, improved efficiency, and compatibility with eReaders and distribution platforms.

Transformation of HTML content inside excel docuemnt into Epub

No Data Available",PDG,No Data Available,moulaali.choudhri@kitaboo.com,PERL,ACTIVE
Html2ePub_Creation,"Many websites still host content in the outdated EPUB 2 format, which lacks support for modern accessibility, interactivity, and structural standards. Manually converting EPUB 2 files to EPUB 3 involves multiple cleanup...","Many websites still host content in the outdated EPUB 2 format, which lacks support for modern accessibility, interactivity, and structural standards. Manually converting EPUB 2 files to EPUB 3 involves multiple cleanup and transformation steps, making the process time-consuming and error-prone. An automated solution is required to extract EPUB 2 content from websites, perform necessary cleanups (e.g., structural correction, removal of deprecated tags), and transform the content into EPUB 3—ensuring enhanced compatibility, accessibility, and compliance with modern publishing standards.

Conversion of Epub 2 from website, performing cleanup and trasnforming to Epub3

No Data Available",PDG,No Data Available,moulaali.choudhri@kitaboo.com,PERL,ACTIVE
Grammarly BOT,Generating grammar and writing quality reports using Grammarly is a manual process that involves copying content from Word documents and reviewing results within the online interface. This workflow is time-consuming and...,"Generating grammar and writing quality reports using Grammarly is a manual process that involves copying content from Word documents and reviewing results within the online interface. This workflow is time-consuming and inconsistent, especially when handling large volumes of content. An automated solution is required to upload Word documents through an interface, extract and paste the content into the Grammarly web application, and generate detailed reports—streamlining the review process, ensuring consistency, and improving content quality at scale.

Generating report from Grammarly online application by pasting the content from word document upload through interface

No Data Available",HL/HE,No Data Available,,UiPath,ACTIVE
Numerade Video,"Processing video and audio files manually—starting from downloading, checking for audio quality, editing, and formatting—is time-consuming and prone to errors. Specifically, extracting audio, detecting background noise...","Processing video and audio files manually—starting from downloading, checking for audio quality, editing, and formatting—is time-consuming and prone to errors. Specifically, extracting audio, detecting background noise, inserting pauses, and resizing video dimensions to client specifications require multiple steps and tools. An automated solution is needed to download video files from links in an Excel sheet, analyze and enhance the audio using FFmpeg, insert a 2-second break at the end, and update video dimensions—ensuring efficiency, consistency, and adherence to client requirements.

1. Download the video file using the link available in the excel sheet.
2. extract the audio file and check any background noise present in the audio file using ffmpeg command in the command line prompt.
3. adding 2 seconds break time at the end of the audio file.
4. update the video dimension as per the client requirement.

No Data Available",HPT,No Data Available,ramganesh.bhaskaran@hurix.com,UiPath,ACTIVE
Vimeo URL,"Manually retrieving video duration from Vimeo URLs listed in Excel sheets is inefficient and prone to inconsistencies, especially when dealing with large datasets. To streamline this process, an automated solution is...","Manually retrieving video duration from Vimeo URLs listed in Excel sheets is inefficient and prone to inconsistencies, especially when dealing with large datasets. To streamline this process, an automated solution is needed to read Vimeo URLs from an Excel file, extract the time duration of each video, and update the corresponding cell—ensuring accurate metadata collection and saving significant manual effort.

1. Read the excel containing the video url.
2. open the video online using the supplied credentials.
3. Extracting time duration from the video.
4. update the time duration in the excel.

No Data Available",MSVGo,No Data Available,,UiPath,ACTIVE
Equalsense B2B / B2C API Checker,"Manually testing B2B and B2C API endpoints using Postman involves repetitive steps such as navigating through nodes, fetching OAuth tokens, updating headers, sending requests, and logging responses. This process is...","Manually testing B2B and B2C API endpoints using Postman involves repetitive steps such as navigating through nodes, fetching OAuth tokens, updating headers, sending requests, and logging responses. This process is time-consuming, error-prone, and inefficient for large sets of APIs. An automated solution is needed to authenticate via OAuth, iterate through all API nodes, send requests, and log the status of each API in the corresponding row of an Excel sheet—ensuring accuracy, efficiency, and streamlined API validation.

1. Open the B2B, B2C endpoint URL in the postman.
2. went through all the nodes available in the postman
3. get the oAuth token from the authrorization tab
4. use that token in the headers tab
5. Click send button to check the status of that API
6. Log the status in excel in the appropriate line of node entry

No Data Available",HT,No Data Available,Ravichandran J,UiPath,ACTIVE
OLC Atoms List,"Automate the extraction of chapter details from the MHE (McGraw Hill Education) website using ISBNs listed in an input Excel file. The solution should log into the MHE website, retrieve the Atoms list for each ISBN from...","Automate the extraction of chapter details from the MHE (McGraw Hill Education) website using ISBNs listed in an input Excel file. The solution should log into the MHE website, retrieve the Atoms list for each ISBN from the Instructor Edition link, traverse through the tree nodes, expand the second parent node to extract chapter details, and write the extracted node text into the Excel sheet. This process should repeat for each row in the input Excel file.

1. Singin to MHE website
 2. Read the ISBN from the input excel
 3. Get Atoms list for the ISBN from the Instrcutor Edition link
 4. Traverse through all the tree nodes of Instructor Edition
 5. Check for chapters under second parent node
 6. Get the Node text by expanding elipse and write it in excel sheet
 7. Repeat for each row in input excel

Bot Handover to Team",HPT,Bot Handover to Team,Venkat Subramaniam,UiPath,ACTIVE
eBook Download_Bento,"The client needs to automate the process of downloading eBooks from the MHE website using ISBNs listed in an Excel sheet. The current manual process involves signing into the MHE website, navigating to the Bento...","The client needs to automate the process of downloading eBooks from the MHE website using ISBNs listed in an Excel sheet. The current manual process involves signing into the MHE website, navigating to the Bento Dashboard, searching for each ISBN, downloading the corresponding eBook, and updating the status in the Excel sheet. This process is time-consuming and prone to human error. Automating this workflow will improve efficiency, accuracy, and reduce manual effort.

1. Signin to MHE website
 2. Navigate to Bento Dashboard
 3. Read the ISBN from the input excel
 4. Search the ISBN in Bento
 5. Download the corresponding eBook from the link
 6. Write the status in the excel sheet
 7. Repeat for each row in excel

Bot Handover to Team",HPT,Bot Handover to Team,Venkat Subramaniam,UiPath,ACTIVE
MHE_Assess (Wonders Assessment Tagging),"Automating the process of updating assessment benchmarks on the MHE website is critical to improving efficiency and accuracy. The task involves reading assessment folder names from an Excel file, locating and opening...","Automating the process of updating assessment benchmarks on the MHE website is critical to improving efficiency and accuracy. The task involves reading assessment folder names from an Excel file, locating and opening the corresponding folders on the MHE website, and accessing individual assessments and their associated question metadata files. The system must update the Benchmark field based on the standard specified in the Excel sheet's Georgia and Indonesia columns, aligning the updates with the appropriate Grade level.

1. Read the assesment folder name from excel
 2. Open MHE website
 3. Find the assessment folder name and click
 4. Go through all the assessment one by one
 5. Each assessment have multiple questions
 6. Each questions have question metadata file
 7. Click on the corresponding question and edit the Benchmark as mentioned in the excel sheet standard (CCSS...) refer the standard sheet Georgia and Indonesia column standards, and updated in the Benchmark based upon the Grade

Bot Handover to Team",HPT,Bot Handover to Team,Ravi S (Subramani),UiPath,ACTIVE
EZ Test reports from the Prod (ISBN-521),"The manual process of verifying ISBN availability across multiple categories on the MHE EZT content website is time-consuming and prone to human error. The task involves opening the MHE website, reading ISBNs from an...","The manual process of verifying ISBN availability across multiple categories on the MHE EZT content website is time-consuming and prone to human error. The task involves opening the MHE website, reading ISBNs from an Excel sheet, and searching through three specific categories: BEC, HSSL, and SEM. If a match is found, generating detailed reports, including a Content Accessibility Report and a Consumption Report, adds further complexity. Automating this process will reduce time, improve accuracy, and ensure timely and consistent reporting, enhancing overall efficiency and data reliability in content accessibility and consumption tracking.

1. Open MHE website
 2. Read the ISBN from excel sheet
 3. Go to MHE EZT content website
 4. Go through the 3 categories (BEC, HSSL,SEM)
 5. If ISBN found in any one category then generate the following report
 Content Accessability report, Consumption report

Bot Handover to Team",HPT,Bot Handover to Team,Venkat Subramaniam,UiPath,ACTIVE
OLC - Database sheet,"Retrieving metadata for multiple ISBNs from the MHE website manually is a repetitive and time-consuming task that increases the risk of data entry errors and delays. To streamline this process, an automated solution is...","Retrieving metadata for multiple ISBNs from the MHE website manually is a repetitive and time-consuming task that increases the risk of data entry errors and delays. To streamline this process, an automated solution is required to sign in to the MHE website, read ISBNs from an input Excel file, fetch corresponding metadata, and populate the information back into the Excel sheet—ensuring accuracy, efficiency, and scalability in metadata management.

1. Singin to MHE website
 2. Read the ISBN from the input excel
 3. Get all the metadata informatio for the ISBN
 4. Write in the excel against the ISBN
 5. Repeat for all ISBN in the Excel

Bot Handover to Team",HPT,Bot Handover to Team,Venkat Subramaniam,UiPath,ACTIVE
CL Studio Production Server,"Uploading an EPUB to the CLStudio platform involves multiple manual steps, including adding metadata, uploading a cover image, and attaching audio files. This process is time-consuming and prone to inconsistencies. An...","Uploading an EPUB to the CLStudio platform involves multiple manual steps, including adding metadata, uploading a cover image, and attaching audio files. This process is time-consuming and prone to inconsistencies. An automated solution is required to streamline EPUB uploads by programmatically adding required metadata, setting the cover image, and linking associated audio files—ensuring accuracy, efficiency, and consistency across digital publishing workflows.

1. Login to https://clstudio.kitaboo.com
 2. Open the textsummary.xlsx
 3. Read the Audio name, Description for multiple Languages and 4. reference ID for the ePub details
 4. Upload the audio file and copy the descriptions to multiple language text box and author image icon, upload the epub and thumbnail image and save

Bot Handover to Team",HPT,Bot Handover to Team,Venkatraman E,UiPath,ACTIVE
CL Studio Json file creation using Excel,"Linking glossary items in an EPUB package with tooltips requires assigning unique IDs to each term, which is time-consuming and error-prone when done manually. An automated solution is needed to populate IDs for...","Linking glossary items in an EPUB package with tooltips requires assigning unique IDs to each term, which is time-consuming and error-prone when done manually. An automated solution is needed to populate IDs for glossary items based on data from an Excel sheet and apply these IDs correctly within the EPUB package for tooltip linking. This will ensure consistency, improve navigation and user experience, and streamline the EPUB production process.

1. Generate the GlossaryData.js (JSON) file from the metadata mentioned in the GlossarySample.xlsx
 2. Generate the cross reference id from the xhtml file and link the JSON

Bot Handover to Team",HPT,Bot Handover to Team,Venkatraman E,UiPath,ACTIVE
OUP Kitaboo - eBook Archive to production,"Manually moving files from the ""Archive"" to ""In Progress"" section in the Kitaboo platform based on ISBNs listed in an Excel sheet is inefficient and prone to human error. An automated solution is needed to read ISBNs...","Manually moving files from the ""Archive"" to ""In Progress"" section in the Kitaboo platform based on ISBNs listed in an Excel sheet is inefficient and prone to human error. An automated solution is needed to read ISBNs from the Excel sheet, locate the corresponding files in Kitaboo, and move them to the ""In Progress"" section—ensuring accuracy, saving time, and streamlining the content management workflow.

1. Signin to Kitaboo
 2. Read ISBN from Input Excel Sheet 
 3. Search for ISBN in Archive
 4. Move one chapter for the ISBN to the InProgress status
 5. Repeat for other chapters
 6. Repeat for other ISBNs

Bot Handover to Team",HPT,Bot Handover to Team,Ravi S (Karunakaran),UiPath,ACTIVE
ElevenLabs - Text to speech_PPTX,"Manually generating audio files from voice-over (VO) text embedded in Powerpoint is time-consuming and lacks scalability. To optimize this process, an automated solution is needed to extract VO content from the Word...","Manually generating audio files from voice-over (VO) text embedded in Powerpoint is time-consuming and lacks scalability. To optimize this process, an automated solution is needed to extract VO content from the Word document and convert it into high-quality audio using Eleven Labs Text-to-Speech. This approach ensures consistent voice output, reduces manual effort, and accelerates the production of audio assets for eLearning and multimedia content.

1. Goto Azure Portal
 2. Check for Input folder container for every one hour interval
 3. Download Input PPT from the container
 4. Validate Voice Name and Request ID from input PPT again language Master sheet.
 5. If Voice Name validation fails email will be sent to the requestor id
 6. If Requestor ID validation fails email will ne sent to RPA team
 7. If validation passes, copy the ""Audio Transcript"" from each slide and generate audio using Elevenlabs API
 8. Ouput audios will zipped and uploaded to Azure Output folder 
 9. Share the ouput path link to requestor id through email
 10. Repeat for every ppt in the input folder

Generated 48 ouput files",HL,Generated 48 ouput files,Khushbu Pandey,UiPath,ACTIVE
ElevenLabs_Text to speech_Word,"Manually generating audio files from voice-over (VO) text embedded in Word documents is time-consuming and lacks scalability. To optimize this process, an automated solution is needed to extract VO content from the Word...","Manually generating audio files from voice-over (VO) text embedded in Word documents is time-consuming and lacks scalability. To optimize this process, an automated solution is needed to extract VO content from the Word document and convert it into high-quality audio using Eleven Labs Text-to-Speech. This approach ensures consistent voice output, reduces manual effort, and accelerates the production of audio assets for eLearning and multimedia content.

1. Goto Azure Portal
 2. Check for Input folder container for every one hour interval
 3. Download Input word document from the container
 4. Validate Voice Name and Request ID from input Word again language Master sheet.
 5. If Voice Name validation fails email will be sent to the requestor id
 6. If Requestor ID validation fails email will ne sent to RPA team
 7. If validation passes, copy the ""Narration"" text from each row of the table and generate audio using Elevenlabs API
 8. Ouput audios will zipped and uploaded to Azure Output contaner
 9. Share the ouput path link to requestor id through email
 10. Repeat for every word document in the azure input container

Generated 26 output files",HL,Generated 26 output files,Khushbu Pandey,UiPath,ACTIVE
